Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,FCF,Crecimiento (g),Deuda Total,Total Cash,Deuda Neta,Activo Circulante,Inventario,Pasivo Circulante,Activo Total,Pasivo Total,Utilidad Neta,Ventas Totales,EBIT,Gastos por Intereses,Ultima Actualizacion
OKTA,"Okta, Inc.",Technology,74.29,104.38105931295549,83.5048474503644,0.4050485841022409,COMPRA FUERTE,0.09336983810466554,962750016,0.03,423000000,2463000064,-2040000064,3416000000.0,0.0,2523000000.0,9437000000.0,3032000000.0,28000000.0,2610000000.0,51000000.0,5000000.0,21/02/2026
MZTI,The Marzetti Company,Consumer Defensive,165.82,187.46794631979174,149.9743570558334,0.1305508763707137,MANTENER/VENTA,0.06225000000000001,160966368,0.03,0,0,0,443631000.0,169301000.0,186294000.0,1274724000.0,276229000.0,167347000.0,1909122000.0,225419000.0,1.0,21/02/2026
QNST,"QuinStreet, Inc.",Communication Services,11.52,27.071600992385104,21.657280793908086,1.3499653639223181,COMPRA FUERTE,0.08321694416068932,74459504,0.03,8545000,110318000,-101773000,245526000.0,0.0,163044000.0,431107000.0,187063000.0,4707000.0,1093711000.0,6033000.0,400000.0,21/02/2026
FDS,FactSet Research Systems Inc.,Financial Services,195.05,335.8165150299556,268.6532120239645,0.7216945143807003,COMPRA FUERTE,0.07093542676653793,545510144,0.03,1560034048,292680992,1267353056,729759000.0,0.0,521306000.0,4304272000.0,2117859000.0,597040000.0,2321748000.0,777282000.0,56324000.0,21/02/2026
WSR,Whitestone REIT,Real Estate,15.22,29.238109071208594,23.39048725696688,0.9210321334565436,COMPRA FUERTE,0.06351055278545749,69264000,0.03,644115968,6909000,637206968,100025000.0,0.0,49153000.0,1134639000.0,690805000.0,36893000.0,155510000.0,71858000.0,34035000.0,21/02/2026
PRDO,Perdoceo Education Corporation,Consumer Defensive,32.84,40.51700466139015,32.413603729112126,0.23376993487789735,MANTENER/VENTA,0.11191976340037843,167204128,0.03,118331000,622180992,-503849992,640154000.0,3388000.0,132162000.0,1237034000.0,277498000.0,147590000.0,681263000.0,202053000.0,613000.0,21/02/2026
ANGI,Angi Inc.,Communication Services,8.41,18.903319061250958,15.122655249000767,1.2477192700655122,COMPRA FUERTE,0.09065463410383136,57909752,0.03,529065984,303700992,225364992,495085000.0,0.0,231678000.0,1830735000.0,767934000.0,36004000.0,1185112000.0,40246000.0,20169000.0,21/02/2026
COR,"Cencora, Inc.",Healthcare,361.08,396.76900606343185,317.4152048507455,0.0988396091265976,MANTENER/VENTA,0.07180213321354895,3463320320,0.03,9905211392,1753122048,8152089344,52239073000.0,20492480000.0,57820539000.0,76590112000.0,74843027000.0,1554169000.0,321332819000.0,2678089000.0,419753000.0,21/02/2026
ST,Sensata Technologies Holding plc,Technology,38.35,46.97344641678248,37.57875713342599,0.22486170578311546,MANTENER/VENTA,0.08326654829986048,471632992,0.03,2849799936,573000000,2276799936,2027239000.0,614455000.0,711358000.0,7143264000.0,4252821000.0,128477000.0,3932764000.0,143956000.0,155793000.0,21/02/2026
IRT,"Independence Realty Trust, Inc.",Real Estate,16.56,18.004666288222527,14.403733030578023,0.08723830242889664,MANTENER/VENTA,0.059299642992583446,185550128,0.03,2284902912,33404000,2251498912,153564000.0,0.0,935847000.0,6057919000.0,2482845000.0,0.0,0.0,0.0,1.0,21/02/2026
